date,上证综指(000001.SH),沪深300(000300.SH),创业板指(399006.SZ),中证新能源(399417.SZ),中证电子(399813.SZ),国证高端装备(399967.SZ),M2同比(%),CPI同比(%)
2015-03-03,154.69195553020853,151.07378278347167,147.1671856702498,117.53805735154373,,191.07537157078218,12.5,1.4
2015-03-04,155.47327256686418,152.06095837255995,150.7743793524846,118.66114516760142,,193.10440940072152,12.5,1.4
2015-03-05,154.00094909089702,150.57610364956085,151.14639651973778,120.64646257616127,,190.01824809712474,12.5,1.4
2015-03-06,153.65539846410354,149.80848225090847,146.3911183995835,117.41714424128853,,186.96950694206208,12.5,1.4
2015-03-09,156.55771084205978,152.35932467921745,149.61631744264642,118.30479420149436,,190.35944388218212,12.5,1.4
2015-03-10,155.78307821182173,151.62120399073547,153.43716405739522,118.91774448138459,,190.66157693331022,12.5,1.4
2015-03-11,156.0121495012532,151.7952797141058,152.72501262187708,118.98641940146346,,188.87997063878606,12.5,1.4
2015-03-12,158.78181670788715,154.73204311151957,151.39740870800742,118.0508567063189,,188.3869212559961,12.5,1.4
2015-03-13,159.90005627227245,155.80065788737016,155.21885547144308,119.26837253748508,,190.42554083407407,12.5,1.4
2015-03-16,163.52167715075515,159.59113307705758,160.74022339034497,122.02368752379,,196.29482354611946,12.5,1.4
2015-03-17,166.05995011820968,161.80695941132947,160.34937655804228,123.6417405099512,,200.19931747154777,12.5,1.4
2015-03-18,169.58960114952825,165.63701292604838,163.7594964152369,125.94128560515114,,203.7478494536265,12.5,1.4
2015-03-19,169.8252146239642,165.36500345825843,163.8314392390715,127.34705855734757,,204.9841516174761,12.5,1.4
2015-03-20,171.48669257940813,167.64043414709354,166.07359473309512,127.95874447339912,,207.0110677746133,12.5,1.4
2015-03-23,174.82462914581345,171.06367932857245,172.06630442692176,130.4647136016269,,209.94582034735546,12.5,1.4
2015-03-24,174.99918222687444,171.10610005779554,176.89149986909257,131.7983512695544,,212.4877554669434,12.5,1.4
2015-03-25,173.54458902041208,169.7006603852405,178.92037752353147,132.74496051192097,,214.93967348482195,12.5,1.4
2015-03-26,174.55758473907346,170.1135411274353,171.92676985723216,131.28881264257365,,218.03184049126992,12.5,1.4
2015-03-27,174.9842963856324,171.0480030387885,174.3295401435706,132.272288072657,,216.78270562902037,12.5,1.4
2015-03-30,179.51035063741267,176.0644588363886,171.828270454005,133.363367519957,,218.67546020195246,12.5,1.4
2015-03-31,177.67716402917054,174.47210955487088,175.18122614877836,133.7104021209371,,219.3791882719403,11.6,1.4
2015-04-01,180.6351323868024,177.60267323807548,180.41287228910966,139.04555170183372,,222.33123932212555,11.6,1.4
2015-04-02,181.36946894998405,177.64061502736027,185.69538103065034,141.68248230556082,,222.70973548386544,11.6,1.4
2015-04-03,183.1778142180643,179.61143473366238,188.30865346889692,144.94540610035588,,227.87768556295765,11.6,1.4
